?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
10A,A102,10A,0000,000,0000,000,0000,0000,004,0100
10A,A102,10B,A102,102,1000,000,010A,1000,000,0000
10B,4103,10C,4103,103,00CB,000,010B,10CB,000,0000
10C,E109,10D,E109,109,10CB,000,010C,10CB,000,0000,109,10CB
10D,0200,10E,0200,10D,0200,000,010D,0000,004,0100
10E,3104,10F,3104,104,2000,000,DFFF,2000,000,0000
10F,2109,110,2109,109,10CB,000,010F,0000,004,0100
110,E109,111,E109,109,0000,000,0110,0000,004,0100,109,0000
111,A105,112,A105,105,F27D,000,0111,F27D,008,1000
112,6109,113,6109,109,0000,000,0112,F27D,009,1001
113,E109,114,E109,109,F27D,000,0113,F27D,009,1001,109,F27D
114,0200,115,0200,114,0200,000,0114,0000,005,0101
115,3106,116,3106,106,3FAC,000,C053,3FAC,001,0001
116,3109,117,3109,109,F27D,000,0002,FFFD,009,1001
117,E109,118,E109,109,FFFD,000,0117,FFFD,009,1001,109,FFFD
118,0200,119,0200,118,0200,000,0118,0000,005,0101
119,6107,11A,6107,107,C152,000,0119,3EAE,000,0000
11A,4109,11B,4109,109,FFFD,000,011A,3EAB,001,0001
11B,E108,11C,E108,108,3EAB,000,011B,3EAB,001,0001,108,3EAB
11C,0100,11D,0100,11C,0100,000,011C,3EAB,001,0001
